TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
2,M,1,1,1,2,0,2,1.0,0,1200500.0,Sena Madureira,12.0,AC,1.0,1.0,1.0,1200500,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,479.6,616.1,631.7,723.0,1,1.0,160.0,200.0,180.0,180.0,200.0,920.0,H,H,D,D,3,H,C,C,D,C,B,B,C,C,B,B,A,A,C,B,A,D,A,C,B
11,M,1,3,1,1,11,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,C,B,B,B,2,C,A,B,C,A,B,B,A,B,A,A,A,A,B,A,A,B,A,A,B
12,F,1,3,1,1,14,1,,0,,,,,,,,1200104,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,439.8,423.7,424.2,339.6,1,1.0,120.0,40.0,40.0,160.0,40.0,400.0,B,B,B,B,4,C,A,B,C,A,B,B,A,A,A,B,A,A,B,A,A,C,A,A,B
10,M,1,3,1,1,7,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,B,D,A,B,3,B,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,C,A,A,B
3,F,1,3,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,399.8,322.6,425.2,390.2,1,1.0,80.0,120.0,80.0,80.0,40.0,400.0,C,E,B,E,4,E,A,C,D,A,B,B,A,B,B,A,A,A,B,A,A,D,A,B,B
3,F,0,1,1,1,1,1,,0,,,,,,,,1200203,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,541.0,679.5,615.5,624.3,1,1.0,160.0,180.0,160.0,180.0,180.0,860.0,G,B,D,B,2,G,A,B,B,B,A,B,A,B,B,B,A,A,B,A,A,B,A,C,B
3,F,1,3,1,1,1,1,,0,,,,,,,,1200013,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,391.4,459.7,464.8,413.3,1,1.0,140.0,200.0,120.0,160.0,160.0,780.0,F,F,D,D,3,I,A,B,D,B,B,B,A,A,B,A,A,A,B,A,A,D,A,C,B
2,F,1,3,1,2,0,2,2.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,415.5,344.3,479.3,504.2,1,1.0,140.0,180.0,160.0,180.0,140.0,800.0,B,B,C,B,7,C,A,B,D,A,A,B,B,A,A,A,A,A,B,B,A,C,A,A,A
4,F,1,3,1,1,2,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,552.1,607.6,617.5,659.1,1,1.0,140.0,180.0,160.0,160.0,180.0,820.0,F,G,B,D,5,F,A,B,C,A,B,B,A,B,A,A,A,A,B,A,A,D,A,B,B
3,F,1,3,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,431.7,557.3,503.1,529.1,0,1.0,160.0,120.0,140.0,160.0,80.0,660.0,G,G,E,D,3,J,A,D,D,A,A,B,A,B,A,B,A,A,B,A,B,D,A,B,B
2,F,1,2,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,453.2,583.6,504.9,329.1,1,1.0,120.0,120.0,100.0,120.0,40.0,500.0,C,E,B,B,4,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,B
2,F,1,1,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,509.0,566.7,605.7,626.2,1,1.0,140.0,180.0,160.0,180.0,160.0,820.0,E,G,B,B,7,D,A,C,C,A,A,B,A,B,A,A,A,A,B,A,A,C,B,B,B
2,F,1,1,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,500.1,576.9,582.6,529.4,1,1.0,160.0,140.0,180.0,140.0,140.0,760.0,H,F,B,C,4,B,A,B,D,A,A,B,A,B,B,A,A,A,A,A,A,E,A,A,B
7,M,1,3,1,1,4,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,E,E,B,B,6,B,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,C,A,A,A
4,M,1,3,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,B,B,C,B,4,C,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,D,A,B,B
5,F,1,1,1,1,3,1,,0,,,,,,,,1200203,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,503.4,559.8,565.5,422.2,1,1.0,160.0,180.0,160.0,160.0,120.0,780.0,H,F,F,B,2,C,A,B,B,A,B,B,A,B,B,B,A,A,B,A,B,B,A,A,B
9,M,1,3,1,1,7,1,,0,,,,,,,,1200302,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,G,F,D,B,7,G,A,C,D,A,B,B,A,A,B,A,A,A,B,A,A,E,A,B,B
3,M,0,2,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,536.6,466.2,442.7,558.4,1,1.0,80.0,120.0,100.0,140.0,120.0,560.0,B,B,F,F,4,B,A,B,C,A,B,B,A,B,B,B,A,A,B,A,A,D,A,A,B
4,F,1,2,1,1,1,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,621.0,566.5,599.7,492.1,1,1.0,120.0,140.0,120.0,120.0,100.0,600.0,G,F,D,D,1,B,A,B,B,A,A,B,B,A,A,A,A,A,A,A,B,B,A,B,B
11,F,0,3,1,1,0,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,C,C,C,B,4,B,B,B,B,A,A,B,B,B,B,A,A,A,B,A,A,B,A,A,B
3,M,1,1,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,413.8,482.4,510.6,477.6,1,1.0,80.0,120.0,80.0,80.0,100.0,460.0,H,E,A,A,5,D,A,C,E,B,A,B,B,B,B,B,A,A,C,A,B,E,A,A,B
2,M,1,3,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,422.5,395.7,445.5,523.0,1,1.0,120.0,160.0,120.0,160.0,160.0,720.0,B,E,C,F,5,B,A,B,D,A,B,B,A,B,A,A,A,A,B,A,A,E,A,A,B
3,M,1,1,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,523.2,539.4,528.6,603.8,0,1.0,120.0,140.0,120.0,120.0,40.0,540.0,E,G,B,D,4,E,A,C,D,A,B,B,B,B,B,B,A,A,B,A,A,E,A,B,B
2,M,0,3,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,495.7,564.2,480.3,423.7,1,1.0,80.0,120.0,80.0,120.0,120.0,520.0,H,H,F,C,4,B,A,B,D,A,A,B,B,B,A,B,A,A,C,B,A,E,A,B,A
2,F,1,3,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,0,1,1,0,,1192.0,1202.0,,,540.2,556.4,,0,1.0,160.0,200.0,160.0,140.0,160.0,820.0,E,E,B,B,4,C,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,D,A,A,B
3,F,1,3,1,1,1,1,,0,,,,,,,,1200401,12,AC,0,1,1,0,,1194.0,1203.0,,,472.9,507.6,,1,1.0,80.0,120.0,100.0,140.0,180.0,620.0,B,G,C,E,1,B,A,B,C,A,A,B,A,B,B,A,A,A,C,A,A,C,A,A,B
5,F,1,3,1,1,2,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,683.1,619.5,642.9,762.9,0,1.0,180.0,180.0,160.0,180.0,200.0,900.0,C,F,B,D,2,B,A,B,C,A,B,B,A,A,B,A,A,A,B,A,A,C,A,A,B
12,F,1,4,3,1,15,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,385.8,574.8,511.8,463.0,1,1.0,120.0,120.0,100.0,80.0,20.0,440.0,C,C,B,A,2,C,A,B,C,A,B,B,A,B,A,A,A,A,B,A,A,C,A,B,B
1,F,1,3,1,3,0,1,,1,,,,,,,,1200328,12,AC,0,1,1,0,,1193.0,1204.0,,,483.6,470.7,,0,1.0,80.0,120.0,80.0,120.0,80.0,480.0,C,E,A,A,3,A,A,B,D,A,A,C,A,B,B,A,A,A,B,B,A,D,A,A,A
12,F,1,3,1,1,12,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,420.6,322.4,438.5,482.2,1,1.0,120.0,120.0,100.0,100.0,0.0,440.0,H,E,F,B,3,B,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,A
2,F,1,3,1,1,1,1,,0,,,,,,,,1200807,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,382.5,422.1,466.4,461.5,1,1.0,120.0,120.0,100.0,120.0,80.0,540.0,E,D,A,A,5,A,A,B,D,B,A,B,B,A,B,A,A,A,B,A,A,C,A,A,B
1,F,1,3,1,2,0,2,1.0,0,,,,,,,,1200385,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,496.3,678.6,609.9,645.4,0,1.0,160.0,200.0,160.0,180.0,200.0,900.0,E,F,C,C,4,D,A,B,D,A,A,B,B,B,B,A,A,A,B,A,A,D,A,B,B
2,F,1,4,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,457.8,475.7,488.4,451.3,1,1.0,120.0,120.0,120.0,160.0,120.0,640.0,B,E,B,B,4,E,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,D,A,A,B
